DISTRITO;POP. TOTAL 2022;POP. URB. 2022;CIDADE;DS_ZONA_SP;QT_HOMENS_<=19;QT_HOMENS_20_34;QT_HOMENS_34_50;QT_HOMENS_50_64;QT_HOMENS_65+;QT_MULHERES_<=19;QT_MULHERES_20_34;QT_MULHERES_34_50;QT_MULHERES_50_64;QT_MULHERES_65+;TOTAL_HOMENS;TOTAL_MULHERES;TOTAL_GERAL;LEITOS;FL_PERIFERIA;IDADE MÉDIA AO MORRER_x;PROPORÇÃO ADOLESCENTE GRÁVIDAS(%);TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN);TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS);DOMICÍLIOS EM FAVELAS (%);POPULAÇÃO PRETA E PARDA (%)_y
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;2.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MARIA;108543;108543;São Paulo;Zona Norte;34674;10266;5617;2021;236;34595;11225;6572;2855;477;52816;55726;108543;2.0;0;66.2;9.3;38.0;16.0;13.0;34.4
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;4.0;0;78.3;1.7;31.0;14.0;0.8;8.7
SAPOPEMBA;266715;266715;São Paulo;Zona Leste;85203;25225;13803;4968;580;85009;27583;16151;7016;1173;129781;136933;266715;50.0;0;65.4;9.9;50.0;26.0;19.0;41.7
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;28.0;0;73.5;5.4;32.0;31.0;;22.0
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;16.0;0;73.6;4.1;33.0;35.0;0.3;17.9
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;30.0;0;73.5;5.4;32.0;31.0;;22.0
MOEMA;81899;81899;São Paulo;Zona Sul;26163;7746;4238;1525;178;26103;8469;4959;2154;360;39851;42047;81899;22.0;0;79.8;0.4;31.0;23.0;0.0;5.8
VILA ANDRADE;168669;168669;São Paulo;Zona Sul;53882;15952;8729;3141;366;53759;17443;10213;4437;741;82073;86595;168669;49.0;0;65.9;8.4;40.0;7.0;32.7;41.4
CAMBUCI;45163;45163;São Paulo;Zona Sul;14427;4271;2337;841;98;14394;4670;2734;1188;198;21975;23187;45163;14.0;0;;;;;0.0;21.0
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;45.0;0;78.3;1.7;31.0;14.0;0.8;8.7
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;31.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;50.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MATILDE;103558;103558;São Paulo;Zona Leste;33082;9794;5359;1929;225;33006;10709;6271;2724;455;50390;53167;103558;42.0;0;71.6;6.3;41.0;26.0;0.6;25.4
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;50.0;0;73.5;5.4;32.0;31.0;;22.0
PIRITUBA;179724;179724;São Paulo;Zona Oeste;57413;16998;9301;3347;390;57283;18586;10883;4727;790;87452;92271;179724;103.0;0;67.9;7.2;46.0;21.0;;31.3
RIO PEQUENO;131631;131631;São Paulo;Zona Oeste;42050;12449;6812;2452;286;41954;13613;7971;3462;578;64050;67580;131631;81.0;0;68.7;;39.0;6.0;20.4;32.8
JABAQUARA;214982;214982;São Paulo;Zona Sul;68677;20333;11125;4004;467;68520;22233;13018;5655;945;104608;110373;214982;153.0;0;69.6;7.9;37.0;19.0;16.4;34.7
SAPOPEMBA;266715;266715;São Paulo;Zona Leste;85203;25225;13803;4968;580;85009;27583;16151;7016;1173;129781;136933;266715;199.0;0;65.4;9.9;50.0;26.0;19.0;41.7
PIRITUBA;179724;179724;São Paulo;Zona Oeste;57413;16998;9301;3347;390;57283;18586;10883;4727;790;87452;92271;179724;136.0;0;67.9;7.2;46.0;21.0;;31.3
CIDADE DUTRA;182459;182438;São Paulo;Zona Sul;58287;17256;9442;3398;396;58154;18869;11048;4799;802;88783;93675;182459;141.0;0;65.6;9.5;46.0;16.0;8.7;45.5
MOEMA;81899;81899;São Paulo;Zona Sul;26163;7746;4238;1525;178;26103;8469;4959;2154;360;39851;42047;81899;64.0;0;79.8;0.4;31.0;23.0;0.0;5.8
MORUMBI;43690;43690;São Paulo;Zona Sul;13957;4132;2261;813;95;13925;4518;2645;1149;192;21259;22430;43690;38.0;0;71.9;8.8;35.0;3.0;14.6;19.5
ITAQUERA;210960;210960;São Paulo;Zona Leste;67392;19952;10917;3929;458;67238;21817;12774;5549;927;102651;108308;210960;185.0;0;65.3;8.1;51.0;33.0;;45.7
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;62.0;0;73.6;4.1;33.0;35.0;0.3;17.9
JABAQUARA;214982;214982;São Paulo;Zona Sul;68677;20333;11125;4004;467;68520;22233;13018;5655;945;104608;110373;214982;210.0;0;69.6;7.9;37.0;19.0;16.4;34.7
BELA VISTA;60024;60024;São Paulo;Zona Central;19175;5677;3106;1118;130;19131;6207;3634;1579;263;29207;30816;60024;64.0;0;73.9;5.8;30.0;29.0;0.0;21.6
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;90.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;146.0;0;78.3;1.7;31.0;14.0;0.8;8.7
CIDADE TIRADENTES;194177;194160;São Paulo;Zona Leste;62031;18365;10049;3617;422;61889;20081;11758;5108;854;94485;99691;194177;223.0;0;59.4;13.3;69.0;19.0;;56.1
CACHOEIRINHA;143366;143366;São Paulo;Zona Oeste;45799;13559;7419;2670;311;45694;14826;8681;3771;630;69760;73605;143366;176.0;0;63.7;9.3;45.0;26.0;20.0;43.3
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;83.0;0;73.6;4.1;33.0;35.0;0.3;17.9
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;104.0;0;80.0;1.3;32.0;;0.0;8.5
CACHOEIRINHA;143366;143366;São Paulo;Zona Oeste;45799;13559;7419;2670;311;45694;14826;8681;3771;630;69760;73605;143366;183.0;0;63.7;9.3;45.0;26.0;20.0;43.3
MOOCA;80880;80880;São Paulo;Zona Leste;25837;7649;4185;1506;175;25778;8364;4897;2127;355;39355;41524;80880;104.0;0;74.9;4.5;32.0;9.0;0.2;12.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;168.0;0;78.3;1.7;31.0;14.0;0.8;8.7
ITAIM PAULISTA;205295;205295;São Paulo;Zona Leste;65582;19416;10624;3824;446;65433;21231;12431;5400;902;99894;105400;205294;307.0;0;64.2;10.5;63.0;20.0;;54.8
PENHA;132452;132452;São Paulo;Zona Leste;42312;12527;6854;2467;288;42216;13698;8020;3484;582;64450;68001;132452;203.0;0;71.3;7.3;37.0;29.0;;23.9
SANTO AMARO;85349;85349;São Paulo;Zona Sul;27265;8072;4417;1589;185;27203;8826;5168;2245;375;41530;43818;85349;132.0;0;78.2;1.5;29.0;26.0;0.2;10.3
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;204.0;0;78.3;1.7;31.0;14.0;0.8;8.7
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;233.0;0;78.3;1.7;31.0;14.0;0.8;8.7
CAMPO GRANDE;115925;115925;São Paulo;Zona Sul;37032;10964;5999;2159;252;36948;11988;7019;3049;509;56408;59516;115925;213.0;0;71.6;4.5;34.0;39.0;;22.3
VILA MARIA;108543;108543;São Paulo;Zona Norte;34674;10266;5617;2021;236;34595;11225;6572;2855;477;52816;55726;108543;201.0;0;66.2;9.3;38.0;16.0;13.0;34.4
VILA PRUDENTE;105690;105690;São Paulo;Zona Leste;33763;9996;5469;1968;229;33686;10930;6400;2780;464;51427;54262;105690;202.0;0;71.9;5.3;36.0;21.0;;19.0
IPIRANGA;116271;116271;São Paulo;Zona Sul;37143;10996;6017;2165;252;37058;12024;7040;3058;511;56576;59694;116271;235.0;0;73.5;5.4;32.0;31.0;;22.0
SANTANA;115689;115689;São Paulo;Zona Norte;36957;10941;5987;2155;251;36873;11964;7005;3043;508;56293;59395;115689;251.0;0;74.8;2.3;33.0;37.0;0.2;14.5
GUAIANASES;109316;109264;São Paulo;Zona Leste;34921;10339;5657;2036;237;34842;11305;6619;2875;480;53192;56123;109316;263.0;0;61.2;11.0;60.0;17.0;;51.5
ERMELINO MATARAZZO;112333;112333;São Paulo;Zona Leste;35885;10624;5813;2092;244;35803;11617;6802;2955;494;54660;57672;112333;280.0;0;65.1;8.6;51.0;17.0;8.6;43.0
BELA VISTA;60024;60024;São Paulo;Zona Central;19175;5677;3106;1118;130;19131;6207;3634;1579;263;29207;30816;60024;151.0;0;73.9;5.8;30.0;29.0;0.0;21.6
LIBERDADE;66056;66056;São Paulo;Zona Central;21101;6247;3418;1230;143;21053;6831;4000;1737;290;32142;33913;66056;193.0;0;73.6;4.1;33.0;35.0;0.3;17.9
SANTO AMARO;85349;85349;São Paulo;Zona Sul;27265;8072;4417;1589;185;27203;8826;5168;2245;375;41530;43818;85349;252.0;0;78.2;1.5;29.0;26.0;0.2;10.3
MORUMBI;43690;43690;São Paulo;Zona Sul;13957;4132;2261;813;95;13925;4518;2645;1149;192;21259;22430;43690;144.0;0;71.9;8.8;35.0;3.0;14.6;19.5
MOEMA;81899;81899;São Paulo;Zona Sul;26163;7746;4238;1525;178;26103;8469;4959;2154;360;39851;42047;81899;309.0;0;79.8;0.4;31.0;23.0;0.0;5.8
PARI;17359;17359;São Paulo;Zona Central;5545;1641;898;323;37;5532;1795;1051;456;76;8446;8912;17359;66.0;0;66.1;11.9;27.0;14.0;2.0;35.8
SANTANA;115689;115689;São Paulo;Zona Norte;36957;10941;5987;2155;251;36873;11964;7005;3043;508;56293;59395;115689;462.0;0;74.8;2.3;33.0;37.0;0.2;14.5
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;371.0;0;80.0;1.3;32.0;;0.0;8.5
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;452.0;0;80.0;1.3;32.0;;0.0;8.5
VILA MARIANA;127286;127286;São Paulo;Zona Sul;40662;12038;6587;2371;276;40569;13163;7707;3348;559;61936;65349;127286;753.0;0;78.3;1.7;31.0;14.0;0.8;8.7
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;544.0;0;80.0;1.3;32.0;;0.0;8.5
PARQUE DO CARMO;74677;74677;São Paulo;Zona Leste;23856;7062;3864;1391;162;23801;7723;4522;1964;328;36337;38339;74677;612.0;0;63.8;8.3;49.0;19.0;16.4;40.7
BELA VISTA;60024;60024;São Paulo;Zona Central;19175;5677;3106;1118;130;19131;6207;3634;1579;263;29207;30816;60024;578.0;0;73.9;5.8;30.0;29.0;0.0;21.6
JARDIM PAULISTA;81859;81859;São Paulo;Zona Sul;26150;7742;4236;1524;178;26090;8465;4957;2153;360;39831;42027;81859;1506.0;0;80.0;1.3;32.0;;0.0;8.5
ALTO DE PINHEIROS;37359;37359;São Paulo;Zona Oeste;11934;3533;1933;695;81;11907;3863;2262;982;164;18178;19180;37359;;0;79.4;1.1;31.0;;0.0;8.1
ANHANGUERA;75360;75061;São Paulo;Zona Oeste;24074;7127;3900;1403;163;24019;7793;4563;1982;331;36669;38690;75360;;0;61.5;8.4;58.0;14.0;;50.3
ARICANDUVA;89574;89574;São Paulo;Zona Leste;28614;8471;4635;1668;194;28549;9263;5424;2356;393;43586;45987;89574;;0;69.3;7.7;42.0;27.0;1.1;27.5
ARTUR ALVIM;95575;95575;São Paulo;Zona Leste;30532;9039;4946;1780;207;30462;9884;5787;2514;420;46506;49068;95575;;0;68.6;8.3;47.0;28.0;;38.2
BARRA FUNDA;33436;33436;São Paulo;Zona Central;10681;3162;1730;622;72;10656;3457;2024;879;147;16269;17166;33436;;0;75.9;1.6;27.0;;1.1;15.7
BELÉM;55785;55785;São Paulo;Zona Leste;17820;5276;2887;1039;121;17780;5769;3378;1467;245;27144;28640;55785;;0;67.9;6.6;28.0;18.0;;24.7
BOM RETIRO;33520;33520;São Paulo;Zona Central;10708;3170;1734;624;72;10683;3466;2029;881;147;16310;17209;33520;;0;66.2;8.4;27.0;28.0;;31.4
BRASILÂNDIA;243273;243261;São Paulo;Zona Oeste;77715;23008;12589;4531;529;77537;25159;14731;6399;1069;118374;124898;243273;;0;62.8;12.5;50.0;18.0;25.1;50.6
BRÁS;38750;38750;São Paulo;Zona Central;12378;3664;2005;721;84;12350;4007;2346;1019;170;18855;19894;38750;;0;61.7;8.0;29.0;18.0;0.2;34.0
BUTANTÃ;51715;51715;São Paulo;Zona Oeste;16520;4891;2676;963;112;16483;5348;3131;1360;227;25164;26550;51715;;0;76.8;4.2;30.0;22.0;1.3;16.1
CAMPO BELO;71034;71034;São Paulo;Zona Sul;22692;6718;3676;1323;154;22640;7346;4301;1868;312;34564;36469;71034;;0;77.9;3.8;29.0;24.0;9.1;12.2
CAMPO LIMPO;236162;236162;São Paulo;Zona Sul;75443;22336;12221;4399;513;75271;24423;14300;6212;1038;114914;121247;236162;;0;63.4;7.7;49.0;5.0;21.7;47.9
CANGAÍBA;141172;141172;São Paulo;Zona Leste;45098;13352;7306;2629;307;44995;14599;8548;3713;620;68693;72478;141172;;0;66.1;8.4;48.0;23.0;10.8;38.8
CAPÃO REDONDO;270767;270767;São Paulo;Zona Sul;86498;25609;14012;5043;589;86300;28002;16396;7122;1190;131753;139013;270767;;0;62.8;9.8;59.0;7.0;21.1;53.9
CARRÃO;84397;84397;São Paulo;Zona Leste;26961;7982;4367;1572;183;26899;8728;5110;2220;371;41066;43330;84397;;0;73.4;5.0;39.0;30.0;;17.3
CASA VERDE;80536;80536;São Paulo;Zona Norte;25727;7617;4167;1500;175;25669;8328;4876;2118;354;39188;41347;80536;;0;71.3;6.9;36.0;23.0;0.1;29.1
CIDADE ADEMAR;249218;249218;São Paulo;Zona Sul;79614;23571;12897;4642;542;79432;25774;15091;6556;1096;121267;127950;249218;;0;65.4;10.5;44.0;24.0;16.2;50.0
CIDADE LÍDER;136660;136660;São Paulo;Zona Leste;43656;12925;7072;2545;297;43557;14133;8275;3595;601;66497;70162;136660;;0;64.6;7.9;51.0;39.0;;40.7
CONSOLAÇÃO;53144;53144;São Paulo;Zona Central;16977;5026;2750;989;115;16938;5496;3218;1398;233;25859;27284;53144;;0;78.1;0.7;30.0;;0.0;10.6
CURSINO;103171;103171;São Paulo;Zona Sul;32958;9757;5339;1921;224;32883;10669;6247;2714;453;50202;52968;103171;;0;73.6;5.7;35.0;19.0;;24.6
FREGUESIA DO Ó;137240;137240;São Paulo;Zona Oeste;43842;12980;7102;2556;298;43742;14193;8310;3610;603;66779;70460;137240;;0;69.3;6.9;42.0;14.0;;29.9
GRAJAÚ;384873;382897;São Paulo;Zona Sul;122950;36401;19918;7169;837;122669;39803;23306;10124;1692;187276;197596;384873;;0;60.4;10.7;64.0;;;56.8
IGUATEMI;149700;149376;São Paulo;Zona Leste;47822;14158;7747;2788;325;47713;15481;9065;3938;658;72842;76857;149700;;0;59.3;12.2;56.0;25.0;;50.9
ITAIM BIBI;101452;101452;São Paulo;Zona Leste;32409;9595;5250;1889;220;32335;10492;6143;2668;446;49365;52086;101452;;0;79.5;0.6;29.0;15.0;0.7;8.3
JAGUARA;24730;24730;São Paulo;Zona Oeste;7900;2338;1279;460;53;7882;2557;1497;650;108;12033;12696;24730;;0;71.7;4.3;;14.0;;25.8
JAGUARÉ;55382;55382;São Paulo;Zona Oeste;17692;5238;2866;1031;120;17651;5727;3353;1456;243;26948;28433;55382;;0;;10.4;42.0;;;35.2
JARAGUÁ;211617;210970;São Paulo;Zona Oeste;67602;20014;10951;3942;460;67448;21885;12814;5566;930;102971;108645;211617;;0;62.1;11.8;57.0;17.0;13.6;47.3
JARDIM HELENA;129409;129409;São Paulo;Zona Leste;41340;12239;6697;2410;281;41246;13383;7836;3404;569;62969;66439;129408;;0;62.9;11.8;59.0;25.0;12.3;54.7
JARDIM SÃO LUÍS;259377;259377;São Paulo;Zona Sul;82859;24531;13423;4831;564;82670;26824;15706;6823;1140;126210;133166;259377;;0;63.5;9.2;46.0;8.0;20.6;51.3
JARDIM ÂNGELA;311432;311329;São Paulo;Zona Sul;99488;29455;16117;5801;677;99262;32208;18858;8192;1369;151540;159891;311432;;0;59.8;12.1;62.0;6.0;19.4;60.1
JAÇANÃ;87329;87329;São Paulo;Zona Norte;27897;8259;4519;1626;189;27834;9031;5288;2297;384;42493;44835;87329;;0;;;47.0;21.0;8.2;37.5
JOSÉ BONIFÁCIO;128243;128243;São Paulo;Zona Leste;40968;12129;6636;2388;278;40874;13262;7765;3373;564;62402;65840;128243;;0;64.5;10.0;54.0;28.0;1.3;47.6
LAJEADO;164391;164391;São Paulo;Zona Leste;52515;15548;8507;3062;357;52395;17001;9954;4324;723;79991;84399;164391;;0;61.5;10.3;59.0;19.0;;56.2
LAPA;75533;75533;São Paulo;Zona Oeste;24129;7143;3909;1407;164;24074;7811;4573;1986;332;36753;38779;75533;;0;77.7;0.9;31.0;16.0;0.5;10.7
LIMÃO;82373;82373;São Paulo;Zona Oeste;26314;7790;4263;1534;179;26254;8518;4988;2166;362;40082;42290;82373;;0;70.4;6.3;37.0;20.0;8.2;33.5
MANDAQUI;103665;103665;São Paulo;Zona Norte;33116;9804;5364;1931;225;33040;10720;6277;2727;455;50442;53222;103665;;0;70.4;6.2;42.0;32.0;;24.3
MARSILAC;11451;6652;São Paulo;Zona Sul;3658;1083;592;213;24;3649;1184;693;301;50;5571;5879;11451;;0;61.6;9.6;73.0;4.0;;48.6
PARELHEIROS;153687;145558;São Paulo;Zona Sul;49096;14535;7953;2862;334;48984;15894;9306;4042;675;74782;78904;153687;;0;61.9;11.6;66.0;10.0;;56.6
PEDREIRA;163586;163586;São Paulo;Zona Sul;52258;15471;8465;3047;355;52139;16917;9906;4303;719;79599;83986;163586;;0;62.1;11.2;55.0;17.0;18.1;52.4
PERDIZES;102391;102391;São Paulo;Zona Oeste;32709;9684;5298;1907;222;32634;10589;6200;2693;450;49822;52568;102391;;0;77.9;0.8;32.0;10.0;0.0;9.4
PERUS;87716;87280;São Paulo;Zona Oeste;28021;8296;4539;1633;190;27957;9071;5311;2307;385;42681;45034;87716;;0;64.3;9.3;64.0;17.0;10.5;48.8
PINHEIROS;65145;65145;São Paulo;Zona Oeste;20810;6161;3371;1213;141;20763;6737;3944;1713;286;31699;33445;65145;;0;78.8;0.6;25.0;14.0;0.1;11.1
PONTE RASA;89881;89881;São Paulo;Zona Leste;28713;8500;4651;1674;195;28647;9295;5442;2364;395;43735;46145;89881;;0;68.0;6.5;47.0;15.0;;37.1
RAPOSO TAVARES;117738;117738;São Paulo;Zona Oeste;37612;11135;6093;2193;256;37526;12176;7129;3097;517;57290;60447;117738;;0;65.3;8.1;48.0;8.0;11.1;46.5
REPÚBLICA;60825;60825;São Paulo;Zona Central;19430;5752;3147;1133;132;19386;6290;3683;1600;267;29596;31228;60825;;0;67.4;6.1;27.0;0.0;0.0;30.2
SACOMÃ;261436;261436;São Paulo;Zona Sul;83517;24726;13529;4870;568;83326;27037;15831;6877;1149;127212;134223;261435;;0;67.1;7.8;44.0;31.0;23.7;32.0
SANTA CECÍLIA;80972;80972;São Paulo;Zona Central;25866;7658;4190;1508;176;25808;8374;4903;2130;356;39400;41571;80972;;0;72.7;5.0;30.0;29.0;0.0;19.7
SAÚDE;128469;128469;São Paulo;Zona Sul;41040;12150;6648;2393;279;40946;13286;7779;3379;565;62512;65956;128469;;0;77.3;1.2;29.0;24.0;0.9;10.9
SOCORRO;38051;38051;São Paulo;Zona Sul;12155;3598;1969;708;82;12127;3935;2304;1000;167;18515;19535;38051;;0;73.3;4.1;37.0;19.0;;21.5
SÃO DOMINGOS;88884;88884;São Paulo;Zona Oeste;28394;8406;4599;1655;193;28329;9192;5382;2338;390;43250;45633;88884;;0;69.2;7.0;45.0;16.0;12.1;32.4
SÃO LUCAS;138038;138038;São Paulo;Zona Leste;44097;13055;7143;2571;300;43996;14275;8358;3631;607;67168;70869;138038;;0;70.2;6.2;41.0;23.0;;24.4
SÃO MATEUS;155682;155682;São Paulo;Zona Leste;49733;14724;8056;2900;338;49620;16100;9427;4095;684;75753;79928;155682;;0;65.6;7.7;49.0;34.0;;38.3
SÃO MIGUEL;81011;81011;São Paulo;Zona Leste;25879;7662;4192;1509;176;25820;8378;4905;2131;356;39419;41591;81011;;0;66.0;8.3;50.0;22.0;;44.1
SÃO RAFAEL;148145;148028;São Paulo;Zona Leste;47325;14011;7666;2759;322;47217;15321;8971;3897;651;72086;76058;148145;;0;59.8;12.4;55.0;27.0;9.3;47.9
SÉ;23832;23832;São Paulo;Zona Central;7613;2254;1233;443;51;7595;2464;1443;626;104;11596;12235;23832;;0;61.8;6.2;27.0;23.0;0.0;39.7
TATUAPÉ;98601;98601;São Paulo;Zona Leste;31498;9325;5102;1836;214;31426;10197;5970;2593;433;47978;50622;98601;;0;75.2;2.2;32.0;17.0;1.0;11.1
TREMEMBÉ;196563;196282;São Paulo;Zona Norte;62793;18590;10172;3661;427;62650;20328;11903;5170;864;95646;100916;196563;;0;65.4;10.3;46.0;22.0;10.7;40.7
TUCURUVI;99559;99559;São Paulo;Zona Norte;31804;9416;5152;1854;216;31732;10296;6028;2619;437;48444;51114;99559;;0;72.7;5.5;36.0;27.0;0.7;19.3
VILA CURUÇÁ;140673;140673;São Paulo;Zona Leste;44938;13304;7280;2620;306;44836;14548;8518;3700;618;68450;72222;140673;;0;64.6;9.2;58.0;17.0;;51.2
VILA FORMOSA;92186;92186;São Paulo;Zona Leste;29449;8718;4770;1717;200;29382;9533;5582;2425;405;44857;47328;92186;;0;71.9;4.2;38.0;26.0;0.9;20.4
VILA GUILHERME;52587;52587;São Paulo;Zona Norte;16799;4973;2721;979;114;16760;5438;3184;1383;231;25588;26998;52587;;0;71.4;6.0;34.0;20.0;2.1;22.0
VILA JACUÍ;134189;134189;São Paulo;Zona Leste;42867;12691;6944;2499;291;42769;13877;8125;3530;590;65295;68893;134189;;0;64.4;10.0;59.0;19.0;;49.0
VILA LEOPOLDINA;46875;46875;São Paulo;Zona Oeste;14974;4433;2425;873;101;14940;4847;2838;1233;206;22809;24065;46874;;0;75.8;3.1;33.0;24.0;;14.4
VILA MEDEIROS;114939;114939;São Paulo;Zona Norte;36717;10870;5948;2141;250;36634;11886;6960;3023;505;55928;59010;114939;;0;;9.6;40.0;15.0;;34.4
VILA SÔNIA;123748;123748;São Paulo;Zona Sul;39532;11704;6404;2305;269;39441;12797;7493;3255;544;60214;63533;123747;;0;70.8;5.3;38.0;4.0;22.7;27.9
ÁGUA RASA;85788;85788;São Paulo;Zona Leste;27405;8113;4439;1598;186;27343;8872;5194;2256;377;41743;44044;85788;;0;73.4;3.8;35.0;31.0;0.1;13.8
